"strain" "sex" "age" "litter" "littersize" "femalelitterratio" "cage" "tag" "nosesniff" "bodysniff" "anogenitalsniff" "pawing" "walkingpassive" "notwalkingpassive" "inactive" "rear" "selfgroom" "bigdig" "na" "sniff" "passivepawing" "nonsocial" "chambtime" "chambpref" "champrefchange" "snifftime" "sniffpref" "sniffprefchange" "stimfollowtest" "testfollowstim" "mousewtadj" "brainwt" "ccarea" "ccindex" "ccindexdiv"
"1" "balb/cj" "male" 30 "b15" 11 0.231584117486712 1 21567 1.98399537824567 6.34878520871959 1.19039722670932 0 2.38079445341865 7.53918243542892 0 18.6495565557474 5.15838798201027 5.15838798201027 29.3631315961313 9.52317781367459 9.91997688884757 28.9663325126256 186.892364593364 33.3311223478611 2.38079445341865 47.615889068373 33.3311223478611 29.7599306677331 15.4751639472212 36.902314027989 26.0816032372013 0.57198586743383 1.04439500685343 1.23424480264961 "cc1"
"2" "balb/cj" "male" 30 "b15" 15 0.324393834618894 1 21568 1.42349311416932 5.9786710783154 0 0.569397245838546 1.138794490823 5.12457520998463 0 9.67975317156843 3.13168485083086 3.13168485083086 26.7616705381839 7.40216419248472 6.83276694664617 15.9431228783547 175.089653007808 116.157038092985 109.324271146339 79.4309157547618 66.6194777298002 67.0465256639656 21.3523967082693 85.4095868330772 17.5431291355141 0.40578094704395 0.73688829231974 0.845084058552595 "cc1"
"3" "c57bl6/j" "male" 30 "c12" 12 0.8242957218726 2 41352 4.17402273842011 4.47216721989555 0.596288962503668 0 0.745361203464998 5.96288962503668 0 6.70825082984333 2.38515585046189 0.447216721989555 7.60268427382244 9.2424789226082 6.70825082984333 9.54062340095312 102.412629335608 80.9462266801095 75.8032343772296 41.5911551450287 36.224554481154 37.1189879251331 5.36660066387466 28.6218702073315 9.23502530908432 0.213277654716819 0.388018644499798 0.354283461974558 "cc1"
"4" "c57bl6/j" "male" 30 "c12" 2 0.753848970277788 2 41353 10.9323024532644 8.19922684024115 0 0 7.0279087202067 15.6175749298883 0 24.9881198901639 5.46615122721787 5.85659060017225 12.8844993203789 19.1315292899916 22.645483650095 36.3108617210679 278.773712568199 226.064397166649 115.960493883411 145.243446884272 137.044220044031 125.331038843686 36.3108617210679 113.617857643342 13.3413133871924 0.516317027311185 0.902102363325732 1.0980727153748 "cc1"
"5" "c57bl6/j" "female" 30 "c13" 12 0.573100645280802 3 41346 1.09054102933268 7.27027352924808 1.09054102933268 0 4.36216411733074 9.0878419107422 0 22.9013616159864 13.8135197085158 3.63513676407877 13.0864923519922 9.45135558791345 13.4500060248013 40.3500180853093 NA NA NA NA NA NA NA NA NA NA NA NA NA
"6" "c57bl6/j" "female" 30 "c13" 13 0.375268515745143 3 41347 0.396483917034059 1.58593566813624 0 0.792967834068119 1.45377436259038 4.097000474697 0 7.00454920225666 4.88996830876512 1.85025827962444 6.21158136818854 1.9824195851703 6.34374267254495 13.7447757918357 NA NA NA NA NA NA NA NA NA NA NA NA NA
"7" "balb/cj" "male" 30 "b10" 7 0.397549846011209 4 21555 0.910497114024727 10.3189672892452 0 0 3.33848941839416 10.3189672892452 0 11.8364624823214 2.1244932657542 6.98047787449307 13.6574567103709 11.22946440327 13.6574567103709 20.9414336225687 115.63313348114 23.6729249646429 83.7657344902749 67.3767864378298 63.7347979817309 57.3613181835578 41.8828672451374 81.9447402622254 NA NA NA NA NA
"8" "balb/cj" "male" 30 "b10" 5 0.538713504737754 4 21556 1.63551484994374 13.0841187995499 0.545171616102743 0 3.81620131599023 25.6230659879037 1.090343233841 13.0841187995499 7.08723101587772 10.9034323335035 37.0716699375099 15.2648052655964 29.4392672989874 32.1651253876787 145.560821644993 175.000088943981 47.4299306483686 3.27102969988749 19.6261781993249 8.17757424971872 194.626267143306 148.831851344881 NA NA NA NA NA
"9" "c57bl6/j" "male" 30 "c15" 11 0.26410252435951 5 41360 2.43559168988494 7.30677506965482 1.21779584494247 2.02965974197671 0 13.3957542943672 0.405931947908225 7.30677506965482 2.02965974197671 12.9898223501123 36.5338753482741 10.9601626044822 15.4254140399973 22.7321891096521 266.697290042401 200.936314415507 265.479494197458 119.343992804362 108.38383019988 109.601626044822 23.1381210539069 233.816802228954 NA NA NA NA NA
"10" "c57bl6/j" "male" 30 "c15" 10 0.296430183961095 5 41361 2.05695254866718 6.17085764600154 0 1.37130169876863 5.82803222156651 6.8565084959001 0 5.82803222156651 3.08542882300077 9.94193731890087 26.7403831326734 8.22781019466872 14.0558424193207 18.8553983593542 142.958202132369 1.02847627433359 14.3986678406703 54.5092425396803 49.3668611680123 47.3099086193452 26.7403831326734 152.214488601371 NA NA NA NA NA
